City Name,Latitude,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
Tiznit,29.7,54.32,42,0,2.17
Methoni,36.82,63.82,76,0,4.7
Pisco,-13.71,67.96,30,62,19.46
Hovd,63.83,46.04,93,75,5.82
Bandarbeyla,9.49,80.71,68,100,4.25
Bethel,60.79,34.7,86,90,19.46
Constitucion,23.99,77.38,34,75,5.82
Hermanus,-34.42,55.54,86,100,13.69
Bluff,-23.58,75.88,44,13,12.97
Preobrazheniye,42.9,51.71,46,100,9.15
Port Elizabeth,39.31,60.01,41,1,8.05
Bara,10.41,75.88,77,42,4.23
Jamestown,-33.21,65.98,19,0,8.16
Marrakesh,31.63,57.2,47,0,4.7
Dudinka,69.41,24.8,85,75,24.61
Port Blair,11.67,77.0,100,20,2.24
Ushuaia,-54.81,57.2,50,40,6.93
Clyde River,70.47,30.2,100,90,19.46
Rikitea,-23.12,70.38,93,100,20.65
Qingdao,36.09,51.8,87,0,2.24
Mpulungu,-8.77,68.56,65,14,3.11
Lulea,65.58,33.8,86,100,1.12
Sisimiut,66.94,25.41,52,82,13.24
New Norfolk,-42.78,59.85,67,66,5.82
Barrow,-38.31,46.02,94,27,8.95
Hilo,19.71,81.03,52,1,8.05
Castro,-42.48,60.8,59,49,5.82
Nikolskoye,59.7,47.53,81,40,6.71
Santa Cruz del Sur,20.71,85.44,72,14,14.79
Salinopolis,-0.61,82.17,79,49,16.26
Paamiut,61.99,37.83,55,100,6.11
Hobart,-42.88,59.99,67,12,5.82
Vega de Alatorre,20.03,79.77,79,50,13.4
Divnoye,45.91,51.49,54,89,4.21
Lebu,8.96,46.31,53,48,1.81
Katsuura,33.93,66.07,82,75,16.11
Bambous Virieux,-20.34,71.82,88,20,4.7
Victoria,5.28,75.13,94,75,7.9
Bull Savanna,17.89,72.63,92,24,2.51
Camacha,33.08,65.43,68,75,4.7
Touros,-5.2,77.0,83,20,10.29
Punta Arenas,-53.16,55.17,58,75,6.93
Chokurdakh,70.62,0.37,95,95,8.1
Mount Isa,-20.73,78.8,39,0,12.75
Yellowknife,62.45,29.7,86,90,5.82
Mataura,-46.19,48.0,72,83,21.99
Yar-Sale,66.83,20.64,96,100,7.58
Temba,-25.38,70.0,55,0,4.7
Waipawa,-39.94,55.99,76,30,23.0
Vanavara,60.35,22.21,93,91,6.44
Butaritari,3.07,84.94,71,49,11.43
Kavieng,-2.57,84.63,75,18,14.61
Busselton,-33.64,48.61,67,0,11.92
Nanortalik,60.14,34.29,83,50,10.18
Fortuna,40.6,70.59,55,20,14.99
Ponta Delgada,37.73,69.91,88,40,12.75
Ribeira Grande,38.52,66.92,90,98,14.52
Khatanga,71.98,3.02,87,100,7.07
Geraldton,49.72,35.6,92,90,9.17
Lompoc,34.64,80.98,53,1,18.34
Makakilo City,21.35,84.96,69,90,9.17
Vaini,15.34,69.4,98,100,5.14
Pevek,69.7,19.36,92,100,19.46
Alofi,-19.06,77.0,94,75,9.17
Kholmskaya,44.85,46.54,93,100,1.77
Broome,52.47,53.49,100,99,1.12
Bowen,-20.01,78.57,53,40,14.99
Cherskiy,68.75,6.58,95,98,5.55
Sorland,67.67,43.14,63,100,21.45
Laguna,16.17,84.2,74,75,6.93
Yulara,-25.24,75.2,12,0,5.82
Bonthe,7.53,78.58,86,100,7.65
Cape Town,-33.93,57.65,87,20,10.29
Barra Patuca,15.8,84.33,71,100,10.6
Husavik,50.56,36.91,66,100,11.99
Whitianga,-36.83,61.0,68,71,13.0
Hithadhoo,-0.6,77.99,84,100,21.85
Atuona,-9.8,78.94,76,15,5.26
Creel,27.75,61.07,49,0,6.11
Plettenberg Bay,-34.05,57.76,79,100,3.89
Maryborough,-25.54,78.64,39,1,5.06
Atbasar,51.81,40.01,85,100,14.09
Sabang,13.8,75.99,92,0,4.81
Thompson,55.74,33.8,47,5,11.41
Solone,48.2,49.15,100,90,4.47
Yarmouth,43.84,54.55,100,75,21.92
Port Hedland,-20.31,69.8,52,0,5.82
Provideniya,64.42,32.0,83,75,17.9
Sao Filipe,14.9,73.76,79,4,16.98
Serik,36.92,68.0,45,0,8.05
Verkhnevilyuysk,63.45,18.01,88,68,2.35
Klaksvik,62.23,42.8,87,100,18.34
Jinchang,38.52,25.65,42,0,3.96
Gat,14.69,79.54,65,29,4.7
Port Alfred,-33.59,60.01,84,97,3.0
Saint-Philippe,45.36,53.8,54,1,16.11
Kodiak,39.95,61.16,48,1,12.75
Valleyview,55.07,35.29,77,43,3.2
Iquitos,-3.75,82.4,74,40,6.93
Turukhansk,65.8,27.55,95,100,15.39
Coihaique,-45.58,68.0,24,68,8.05
Luderitz,-26.65,57.2,82,49,5.82
Carutapera,-1.2,82.22,80,17,14.0
Colwyn Bay,53.29,49.28,81,99,18.34
Saint George,39.45,56.35,54,0,1.92
Koumac,-20.56,76.44,58,92,4.14
Tinde,-3.87,72.79,72,44,1.32
Ust-Tsilma,65.44,27.25,90,81,6.4
Tuatapere,-46.13,48.0,72,82,21.99
Sawakin,19.1,86.76,68,0,4.59
Huarmey,-10.07,62.92,77,88,2.64
Georgetown,6.8,83.25,83,40,6.93
Omboue,-1.57,73.83,98,100,2.24
Veraval,49.65,53.65,93,20,9.17
Matagami,9.67,68.0,77,20,2.44
Fredericton,45.97,53.38,100,90,4.7
East London,-33.02,63.36,59,97,10.13
Dikson,73.51,17.06,91,100,9.28
Esperance,-33.86,51.8,93,75,19.46
Monrovia,6.33,77.0,94,75,6.15
Longyearbyen,78.22,21.2,57,75,9.17
Airai,-8.93,78.87,25,64,6.11
Albany,42.65,53.49,47,20,4.7
Souillac,45.6,56.1,93,75,4.7
Askino,56.09,42.73,95,92,9.26
Severo-Kurilsk,50.68,42.82,64,98,9.84
Bow Island,49.87,39.04,60,75,17.22
Voh,-20.95,70.97,77,100,23.04
Derzhavinsk,51.1,42.85,70,100,16.49
Lazaro Cardenas,28.39,80.6,22,5,12.75
Yurimaguas,-5.9,71.6,100,90,5.82
Channel-Port aux Basques,47.57,47.95,84,100,30.22
Mar del Plata,-46.43,49.01,88,24,9.71
Portland,43.66,54.91,58,40,9.17
Tahe,52.34,27.25,81,41,5.64
Kapaa,22.08,82.56,74,40,11.41
Marzuq,14.4,65.52,41,1,2.53
Bredasdorp,-34.53,55.9,62,100,4.7
Tromso,69.65,31.06,92,40,2.24
Havre-Saint-Pierre,50.23,42.8,100,90,16.11
Arraial do Cabo,-22.97,73.4,73,75,6.93
Vila Velha,-3.71,80.6,78,20,8.05
Gamba,28.28,25.48,89,98,1.83
Kaitangata,-46.28,46.44,67,64,35.9
Impfondo,1.62,69.85,97,27,0.56
Carnarvon,-30.97,53.19,38,35,5.93
Mehamn,71.03,30.2,100,90,1.12
Chapais,49.78,44.6,87,90,13.87
Ilulissat,69.22,21.2,57,20,1.12
Cervo,-22.19,62.49,90,66,3.18
Tasiilaq,65.61,26.6,73,96,2.24
Polson,47.69,49.39,29,40,6.93
Saint-Pierre,48.95,55.02,100,97,6.93
Moindou,-21.69,73.4,49,100,4.7
